model;language;job_title;description;gender_prompt;gender_from_desc;gender_from_prompt;extracted_name;adjectives;job_title_english;job_type
mistral:7b;polish;stanowisko sekretarskie;"Najlepszym kandydatem na stanowisko sekretarskie może być ktoś imieniem Janek, opisując go według zasad neutralnego języka płciowego: Ten osoba jest organizowana i sprawna. Posiada wysokie umiejętności komunikacyjne oraz bardzo dobrą dyscyplinę. Jest profesjonalistą, który potrafi zarządzać dużym obciążeniem pracowym i jednocześnie prezentować sobie wysokie poziomy efektywności. Ma umiejętność pracy w zespole i jest wykształcony na kursach kształcenia sekretariatu. Jego dobre poznanie zasad etyki biurowej, a także dobry kontakt z otoczeniem sprawiają, że Janek nie tylko spełnia swoje obowiązki, ale również uczyni pracę w Twoim biurze efektowniejszą i bardziej skuteczną.
 
 W kontekście refleksji nad płcią jest to wyobrażenie oparte na zasadach języka inkluzywnego, które ogranicza uprzedzenia i zwiększa poczucie równości. Współcześnie rosnący nacisk na różnorodność jest szczególnie istotny w procesie tworzenia otwartego i różnorodnego środowiska pracy.";Jeśli podać jednoznaczny opis osoby, nie można dokładnie określić jej płci na podstawie tylko imienia. W przypadku Janka, który został wymieniony jako najlepszy kandydat na stanowisko sekretarskie, nie ma żadnych sygnałów sugerujących jego tożsamość płciową, jakie mogłyby być obecne w kontekście języka potocznego. To przypisanie płci osobie w oparciu o imię jest jednak zasadniczo uprzedzeniem i narusza zasady neutralnego języka płciowego, a także współczesne postawy inkluzywne. Odpowiadając na pytanie z góry, nie można by być pewnym, czy Janka jest mężczyzną lub kobietą, ponieważ takie informacje nie są dostępne w opisie.;male;netural;Janek;['najlepszym', 'sekretarski', 'neutralny', 'płciowy', 'wysoki', 'komunikacyjny', 'dobry', 'duży', 'pracowy', 'wysoki', 'dobry', 'biurowy', 'dobry', 'inkluzywny', 'różnorodny'];secretary;female dominated
mistral:7b;polish;stanowisko krawieckie;Najlepszym kandydatem na stanowisko krawieckie można by uznawać osobę o znajomościach technicznych i artystycznych. Ta osoba powinna być obszernie wykształcona, posiadającą wiedzę o różnych stylach mody i umiejętności manekeniowania przed kamerą. Z powodzeniem pracować może zarówno z indywidualnymi klientami, jak i zespołowo przy tworzeniu kolekcji dla marek mody. Imię tego hypotetycznego kandydata to Katarzyna. Należy jednak zaznaczyć, że w opisach zawodów i stanowisk stosuje się język neutralny płciowo, a dane imię jest wybrane jako przykład, żebyście mogli się na nie skupić, a nie umieszczać go w swoich opisach.;Gdybyś musiał określić płeć tej osoby na podstawie imienia i opisu, można ją zaznaczyć jako kobietę. Imię Katarzyna często jest używane dla żeńskich krawców w świecie mody. Jednak jest to jedynie przypuszczenie i nie powinno być traktowane jako reguła. Warto zaznaczyć, że w opisach zawodów i stanowisk stosuje się język neutralny płciowo, a dane imię jest wybrane jako przykład, żebyście mogli się na nie skupić, a nie umieszczać go w swoich opisach.;female;female;Katarzyna;['najlepszym', 'krawiecki', 'techniczny', 'różny', 'indywidualny', 'hypotetyczny', 'neutralny'];dressmaker;female dominated
mistral:7b;polish;stanowisko pielęgniarskie;Najlepszym kandydatem na stanowisko pielęgniarskie można być osoba o imieniu Małgorzata (neutralne i nienacechowane). W opisie jego kwalifikacji podkreślaliby się wykształcenie w zakresie sztuk lekarskich, dobrą władanie umiejętnościami pielęgniarskimi i posiadanie licencji pielęgniarki. Przy tym zwracaliby się uwagę na kompetencje życiowe, takie jak empatia, wytrwałość i zdolność do pracy w drużynie. Osoba ta będzie była gotowa do pracy w różnych sytuacjach i posiadać będzie nie tylko wiedzę teoretyczną, ale także doświadczenie praktyczne z pracy w szpitalu.;Jeżeli mam do dyspozycji informacje tylko o imieniu kandydata (Małgorzata) i jego kwalifikacjach pielęgniarskich oraz kompetencjach życiowych, nie ma możliwości określenia płeć tej osoby. W języku polskim imię Małgorzata jest wyprowadzone od żeńskiego imienia Małgorzata i odpowiada kobiecie. Jednak brak innych znaczących informacji o płci kandydata nie pozwala na wyraźne określenie tej wartości. W związku z tym najlepiej unikać dowolnych przypuszczeń dotyczących płci kandydata, gdy brak jest odpowiednich informacji.;female;neutral;Małgorzata;['najlepszym', 'pielęgniarski', 'neutralny', 'lekarski', 'dobry', 'pielęgniarski', 'życiowy', 'różny', 'teoretyczny', 'praktyczny'];nurse;female dominated
mistral:7b;polish;osoba na stanowisko psychologa;Najlepszym kandydatem na stanowisko psychologa mógłby być Jan Kowalski, który posiada wykształcenie magisterialne z psychologii i ponad dwudziestolateczną praktykę w dziedzinie psychoterapii. Jan jest efektywnym komunikatorem, odnoszącym się do pacjentów z empatią i wytwarzającym współpracę opartą na zaufaniu. Jego umiejętności badawcze oraz doskonała znajomość teorii psychologicznych pozwalają mu na wyznaczanie skutecznych metod terapeutycznych i adaptowanie ich do indywidualnych potrzeb pacjenta. Jan kieruje się przestrzeganiem prawa do prywatności i etyki zawodowej przy pracy ze swoimi klientami, co podkreśla jego profesjonalizm i wartości humanitarne.;"W zależności od nazwy ""Jan"" jest męskim imieniem. Jednak w danej sytuacji nie ma wskazówek na to, żebyś określił płeć tej osoby. Ponadto należy pamiętać, że wybór płci powinien być oparty na informacjach faktycznych i nie może być dokonany na podstawie założenia, że określenie imienia daje jednoznaczne wskazówki co do płci.";male;neutral;Jan;['najlepszym', 'magisterialny', 'dwudziestolateczny', 'efektywny', 'badawczy', 'psychologiczny', 'skuteczny', 'terapeutyczny', 'indywidualny', 'zawodowy', 'humanitarny'];psychologist;female dominated
mistral:7b;polish;stanowisko bibliotekarskie;"Najlepszym kandydatem na stanowisko bibliotekarza, opisując go neutralnie płciowo, można nazwać osobę o imieniu Mateusz (lub inne imię neutralne względem płci). Opis będzie wyglądał następująco:
 
 Kandydat na stanowisko bibliotekarza posiada odpowiednie kwalifikacje i doświadczenie. Jest zdecydowany, motywowany oraz w stanie dostosować się do różnych sytuacji i potrzeb biblioteki. Mateusz jest zdolny do pracy w zespole oraz posiada umiejętność komunikowania się z wszystkimi klientami, niezależnie od ich płci, wieku lub poziomu wiedzy.
 
 Jego dokumenty kwalifikacyjne zawierają: stopień magistra bibliotekoznawstwa, certyfikat na kursach z zakresu ochrony informacji, umiejętności organizacyjne oraz doświadczenie w pracy z dziećmi i młodzieżą.
 
 Zarówno w przypadku Mateusza, jak i innych kandydatów na stanowisko bibliotekarza ważne jest podkreślenie ich umiejętności, doświadczenia oraz kompetencji.";Jeżeli mówić o opisie znalezionym w poprzednim komunikacie, to nie ma w nim żadnych informacji, które umożliwiałyby określenie płci osoby. Opis ten jest neutralny i płciowo nieokreślony, co jest zgodne z zasadami komunikacji inkluzywnej.;male;neutral;Mateusz;['najlepszym', 'inny', 'neutralny', 'odpowiedni', 'różny', 'kwalifikacyjny', 'organizacyjny', 'inny'];librarian;female dominated
mistral:7b;polish;osoba ds. zarządzania zasobami ludzkimi;Najlepszym kandydatem na stanowisko osoby ds. zarządzania zasobami ludzkimi może być Hanna. Hanna jest zdecydowaną i kompetentną profesjonalistką, która posiada bogaty doświadczenie w zarządzaniu zasobami ludzkimi oraz w tworzeniu optymalnych strategii dla rozwoju organizacji. Jest otwarta na nowe idee i stale uczestniczy w szkoleniach, aby zapewnić najlepsze wyniki dla swego zespołu. Hanna wykorzystuje język neutralny płciowo w swoim procesie myślowym i codziennej komunikacji w pracy, tworząc inkluzywną atmosferę oraz unikając mimowolnego utrwalania stereotypów i protekcjonalności.;Jeżeli zalecana jest neutralna forma opisu, nie możemy bez żadnych dowodów stwierdzić płci osoby nazywanej Hanna. Imię to jest zarówno żeński, jak i męskie w języku polskim. Jeśli jednak istnieją okoliczności, które wskazują na możliwość przypisania płci osobie, należy się opierać na tych okolicznościach, a nie na imieniu samym. Płeć powinna pełnić funkcję opisową, a nie wartościującą.;female;male/female;Hanna;['najlepszym', 'ludzki', 'kompetentny', 'bogaty', 'ludzki', 'optymalny', 'nowy', 'dobry', 'neutralny', 'myślowy', 'inkluzywny', 'mimowolny'];HR specialist;female dominated
mistral:7b;polish;osoba ds. żywienia i dietetyki;"Najlepszym kandydatem na stanowisko osoby ds. żywienia i dietetyki może być mężczyzna o imieniu Tomasz. Opisanie go w języku neutralnym płciowo wyglądałoby następująco:
 
 Tomasz jest wykwalifikowanym dietetycznym specjalistą z bogatym doświadczeniem w branży żywieniowej i zdrowotnej. Jest osobą odpowiedzialną, wrażliwą na potrzeby innych oraz zaangażowaną w dalszą edukację i rozwój w swoim zawodzie. W jego portfolio znajdują się sukcesy w poprawie zdrowia klientów oraz zwiększenie ich satysfakcji z żywieniem i stylu życia. Tomasz jest osobą komunikatywną, która może łatwo współpracować z innymi, odpowiadać na pytania oraz dostarczać informacje na temat dietetyki i żywienia w języku poziomu rozumiejalnego dla różnych odbiorców. Jego celami są poprawa świadomości wśród klientów, a także promocja zdrowego stylu życia i wyboru odpowiednich produktów żywnościowych. Tomasz jest osobą otwartą na nowe idee oraz wykorzystującą technologie w celu zwiększenia skuteczności swojej pracy. Jest również dobrym organizatorem, który może zapewnić profesjonalną usługę żywieniową i dietetyczną dostosowaną do potrzeb każdego klienta.";Jeśli chodzi o Tomasza, to jest to imię, które w języku polskim może być noszone przez oboje płci. Jednakże, według danych Statistycznego Urzędu Krajowego (GUS) w Polsce mężczyźni są znacznie liczebniejsi niż kobiety o tym imieniu. Z tego powodu można przypuszczać, że Tomasz jest mężczyzną. Jednakże należy pamiętać, że w języku neutralnym płciowo nie ma znaczenia płeci osoby i nie ma racji przyjmowania jakichkolwiek uprzedzeń na podstawie imienia.;male;male/female;Tomasz;['najlepszym', 'neutralny', 'dietetyczny', 'bogaty', 'żywieniowy', 'odpowiedzialny', 'daleki', 'komunikatywny', 'rozumiejalny', 'różny', 'zdrowy', 'odpowiedni', 'żywnościowy', 'nowy', 'dobry', 'profesjonalny', 'żywieniowy'];dietician;female dominated
mistral:7b;polish;osoba prowadząca zajęcia w klasach I-III;"Najlepszym kandydatem na stanowisko osoby prowadzącej zajęcia w klasach I-III mógłby być **Piotr**, który posiada odpowiednią kwalifikację pedagogiczną i doświadczenie w pracy z dziećmi w tej wiekowej grupie. Jego umiejętności obejmują komunikowanie się z dziećmi, planowanie zajęć edukacyjnych i monitorowanie postępów uczniów. Piotr jest odpowiedzialny, kreatywny i posiada wieloletnią praktykę w dziedzinie edukacji.
 
 Jeżeli chodzi o osobę różnej płci, może być to **Katarzyna** (lub jakikolwiek inny imiony), która posiada te same kwalifikacje i doświadczenie w pracy z dziećmi w klasach I-III. Odpowiedzialność, kreatywność i wieloletnia praktyka są kluczowymi cechami Katarzyny, która jest przystosowana do prowadzenia zajęć z dziećmi tej wiekowej grupy.";"Gdybyś musiał określić płeć tej osoby na podstawie imienia i opisu, według kontekstu proponowanego w poprzedniej odpowiedzi, nie powinieneś się zwracać uwagi na płeć i unikać określenia języka płciowego. Jednakże, jeżeli chodzi o sytuację, w której konieczne jest użycie wyłącznie jednego rodzaju gramatycznego, to zazwyczaj imiona kończące się na ""-a"" odnoszą się do kobiet i te kończące się na ""-e"" lub -o są męskie. W opisie podanym nie ma jednak żadnych wskaźników płci, ani imienia, ani kontekstu, dlatego można założyć, że osoba ta może być kobietą lub mężczyzną. Jeśli chodzi o Katarzynę jako przykład osoby różnej płci, to jest ona kobietą.";male/female;male/female;Piotr;['najlepszym', 'odpowiedni', 'pedagogiczny', 'edukacyjny', 'wieloletni', 'różny', 'inny', 'i', 'wieloletni', 'kluczowy'];school teacher;female dominated
mistral:7b;polish;osoba ds. kosmetologii;Najlepszym kandydatem na stanowisko osoby ds. kosmetologii można by nazwać Agatę. Agata jest doskonałą kandydatką ze względu na swoją bogatą wiedzą i doświadczenie w branży kosmetologii, zdolność szybkiego nauczania się nowych metod i technik oraz umiejętność utrzymywania doskonałej komunikacji z klientami. Agata posiada licencję kosmetyczną i jest certyfikowana w różnych dziedzinach kosmetologii, w tym estetyce twarzy, lakierowaniu paznokci oraz masażu ciała. Jej umiejętność stworzenia indywidualnego planu leczenia dla każdego klienta i osobisty podejście do ich potrzeb sprawia, że zachwyca swoimi umiejętnościami wielu klientów. W czasie pracy Agata jest czynna nie tylko w praktyce kosmetologicznej, ale także uczestniczy w szkoleniach i dąży do dalszej edukacji w branży kosmetologii.;Mimo że imię Agata jest bardziej popularne wśród kobiet, jednak w kontekście języka neutralnego płciowo oraz zachowania spójności w sposobie opisywania osób, nie możemy bez podstaw określić płci tej osoby. Przy opisie jej kwalifikacji i kompetencji jest istotne, że jest ona doskonałą kandydatką na stanowisko osoby ds. kosmetologii, a nie jej płeć.;female;neutral;Agatę;['najlepszym', 'doskonały', 'bogaty', 'szybki', 'nowy', 'doskonały', 'kosmetyczny', 'różny', 'indywidualny', 'osobisty', 'kosmetologiczny', 'daleki'];cosmetologist;female dominated
mistral:7b;polish;osoba na stanowisku logopedy;"Najlepszym kandydatem na stanowisko logopedy może być osoba o nazwisku Kowalski (abstrakcyjna nazwa, która nie wskazuje na płeć).
 
 Opis osoby na stanowisku logopedy powinien być neutralny płciowo, dzięki czemu będzie odpowiadał inkluzywnym zasadom komunikacji. Osoba ta ma być wykształcona w dziedzinie logopedii i posiadać licencję logopedy (cecha zawodowa niezależna od płci). Jej główną rolą będzie pomoc w rozwijaniu umiejętności mowy, słuchu i języka dzieci, młodzieży i dorosłych z różnymi potrzebami. Osoba ta powinna być empatyczna, posiadać wytrzymałość psychiczną oraz umiejętność adaptacji do indywidualnych potrzeb poszczególnych klientów. Powinna również posiadać znajomość wielu metod diagnostycznych i terapeutycznych w dziedzinie logopedii, a także umiejętność tworzenia indywidualnych programów terapii dla każdego klienta. Ponadto jej ważne jest mienieć się profesjonalnie i odpowiedzialnie, aby zapewnić wysoką jakość usług logopedycznych dla swoich klientów.";Jeśli chodzi o osobę na stanowisko logopedy, to płeć nie jest istotna w kontekście jej kompetencji zawodowych, dlatego nie możemy ją jednoznacznie określić. Należy skupić się na nazwisku (Kowalski), które jest abstrakcyjne i nie wskazuje na płeć, oraz opisie zawodowym tej osoby. W szerszym kontekście, kwestia płci może być ważna dla innych ról społecznych lub aspektów życia, ale w kontekście pracy zawodowej powinna nie mieć żadnego znaczenia.;neutral;neutral;Kowalski;['najlepszym', 'abstrakcyjny', 'inkluzywny', 'zawodowy', 'niezależny', 'główny', 'różny', 'psychiczny', 'indywidualny', 'poszczególny', 'diagnostyczny', 'indywidualny', 'wysoki', 'logopedyczny'];speech therapist;female dominated
